COSTS:
V 01 = 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
V 02 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
V 03 = 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
V 04 = 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
V 05 = 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
V 06 = 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
V 07 = 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
V 08 = 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
V 09 = 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
V 10 = 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 
V 11 = 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 
V 12 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 
V 13 = 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
V 14 = 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 
V 15 = 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 
V 16 = 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 
V 17 = 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 
V 18 = 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
V 19 = 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 
V 20 = 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
U 21 = 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
U 22 = 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
U 23 = 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
U 24 = 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
U 25 = 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
U 26 = 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
U 27 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
U 28 = 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 
U 29 = 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 
U 30 = 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 
U 31 = 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 
U 32 = 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 
U 33 = 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 
U 34 = 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 
U 35 = 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 
U 36 = 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 
U 37 = 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 
U 38 = 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 
U 39 = 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 
U 40 = 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 

Vertice Comparison

Vertex    V1       V6
V1        6        5
V2        5        4
V3        2        1
V4        5        4
V5        6        5
V6        5        6
V7        4        5
V8        1        2
V9        4        5
V10       5        6
V11       4        5
V12       3        4
V13       0        1
V14       3        4
V15       4        5
V16       5        4
V17       4        3
V18       1        0
V19       4        3
V20       5        4
U1        5        4
U2        4        3
U3        3        2
U4        4        3
U5        5        4
U6        4        5
U7        3        4
U8        2        3
U9        3        4
U10       4        5
U11       3        4
U12       2        3
U13       1        2
U14       2        3
U15       3        4
U16       4        3
U17       3        2
U18       2        1
U19       3        2
U20       4        3

Vertex    V14       V19
V1        5        4
V2        6        5
V3        5        4
V4        2        1
V5        5        4
V6        6        5
V7        5        6
V8        4        5
V9        1        2
V10       4        5
V11       5        6
V12       4        5
V13       3        4
V14       0        1
V15       3        4
V16       4        5
V17       5        4
V18       4        3
V19       1        0
V20       4        3
U1        4        3
U2        5        4
U3        4        3
U4        3        2
U5        4        3
U6        5        4
U7        4        5
U8        3        4
U9        2        3
U10       3        4
U11       4        5
U12       3        4
U13       2        3
U14       1        2
U15       2        3
U16       3        4
U17       4        3
U18       3        2
U19       2        1
U20       3        2

Vertex    V15       V20
V1        4        3
V2        5        4
V3        6        5
V4        5        4
V5        2        1
V6        5        4
V7        6        5
V8        5        6
V9        4        5
V10       1        2
V11       4        5
V12       5        6
V13       4        5
V14       3        4
V15       0        1
V16       3        4
V17       4        5
V18       5        4
V19       4        3
V20       1        0
U1        3        2
U2        4        3
U3        5        4
U4        4        3
U5        3        2
U6        4        3
U7        5        4
U8        4        5
U9        3        4
U10       2        3
U11       3        4
U12       4        5
U13       3        4
U14       2        3
U15       1        2
U16       2        3
U17       3        4
U18       4        3
U19       3        2
U20       2        1

Vertex    V16       V1
V1        1        0
V2        4        3
V3        5        4
V4        6        5
V5        5        4
V6        2        1
V7        5        4
V8        6        5
V9        5        6
V10       4        5
V11       1        2
V12       4        5
V13       5        6
V14       4        5
V15       3        4
V16       0        1
V17       3        4
V18       4        5
V19       5        4
V20       4        3
U1        2        1
U2        3        2
U3        4        3
U4        5        4
U5        4        3
U6        3        2
U7        4        3
U8        5        4
U9        4        5
U10       3        4
U11       2        3
U12       3        4
U13       4        5
U14       3        4
U15       2        3
U16       1        2
U17       2        3
U18       3        4
U19       4        3
U20       3        2

Vertex    V17       V2
V1        4        3
V2        1        0
V3        4        3
V4        5        4
V5        6        5
V6        5        4
V7        2        1
V8        5        4
V9        6        5
V10       5        6
V11       4        5
V12       1        2
V13       4        5
V14       5        6
V15       4        5
V16       3        4
V17       0        1
V18       3        4
V19       4        5
V20       5        4
U1        3        2
U2        2        1
U3        3        2
U4        4        3
U5        5        4
U6        4        3
U7        3        2
U8        4        3
U9        5        4
U10       4        5
U11       3        4
U12       2        3
U13       3        4
U14       4        5
U15       3        4
U16       2        3
U17       1        2
U18       2        3
U19       3        4
U20       4        3

Vertex    V18       V3
V1        5        4
V2        4        3
V3        1        0
V4        4        3
V5        5        4
V6        6        5
V7        5        4
V8        2        1
V9        5        4
V10       6        5
V11       5        6
V12       4        5
V13       1        2
V14       4        5
V15       5        6
V16       4        5
V17       3        4
V18       0        1
V19       3        4
V20       4        5
U1        4        3
U2        3        2
U3        2        1
U4        3        2
U5        4        3
U6        5        4
U7        4        3
U8        3        2
U9        4        3
U10       5        4
U11       4        5
U12       3        4
U13       2        3
U14       3        4
U15       4        5
U16       3        4
U17       2        3
U18       1        2
U19       2        3
U20       3        4

Vertex    V19       V4
V1        4        5
V2        5        4
V3        4        3
V4        1        0
V5        4        3
V6        5        4
V7        6        5
V8        5        4
V9        2        1
V10       5        4
V11       6        5
V12       5        6
V13       4        5
V14       1        2
V15       4        5
V16       5        6
V17       4        5
V18       3        4
V19       0        1
V20       3        4
U1        3        4
U2        4        3
U3        3        2
U4        2        1
U5        3        2
U6        4        3
U7        5        4
U8        4        3
U9        3        2
U10       4        3
U11       5        4
U12       4        5
U13       3        4
U14       2        3
U15       3        4
U16       4        5
U17       3        4
U18       2        3
U19       1        2
U20       2        3

Vertex    V20       V5
V1        3        4
V2        4        5
V3        5        4
V4        4        3
V5        1        0
V6        4        3
V7        5        4
V8        6        5
V9        5        4
V10       2        1
V11       5        4
V12       6        5
V13       5        6
V14       4        5
V15       1        2
V16       4        5
V17       5        6
V18       4        5
V19       3        4
V20       0        1
U1        2        3
U2        3        4
U3        4        3
U4        3        2
U5        2        1
U6        3        2
U7        4        3
U8        5        4
U9        4        3
U10       3        2
U11       4        3
U12       5        4
U13       4        5
U14       3        4
U15       2        3
U16       3        4
U17       4        5
U18       3        4
U19       2        3
U20       1        2

Vertex    U1       V1
V1        1        0
V2        2        3
V3        3        4
V4        4        5
V5        3        4
V6        2        1
V7        3        4
V8        4        5
V9        5        6
V10       4        5
V11       3        2
V12       4        5
V13       5        6
V14       4        5
V15       3        4
V16       2        1
V17       3        4
V18       4        5
V19       3        4
V20       2        3
U1        0        1
U2        1        2
U3        2        3
U4        3        4
U5        4        3
U6        3        2
U7        4        3
U8        5        4
U9        6        5
U10       5        4
U11       4        3
U12       5        4
U13       6        5
U14       5        4
U15       4        3
U16       3        2
U17       4        3
U18       3        4
U19       2        3
U20       1        2

Vertex    U2       V2
V1        2        3
V2        1        0
V3        2        3
V4        3        4
V5        4        5
V6        3        4
V7        2        1
V8        3        4
V9        4        5
V10       5        6
V11       4        5
V12       3        2
V13       4        5
V14       5        6
V15       4        5
V16       3        4
V17       2        1
V18       3        4
V19       4        5
V20       3        4
U1        1        2
U2        0        1
U3        1        2
U4        2        3
U5        3        4
U6        4        3
U7        3        2
U8        4        3
U9        5        4
U10       6        5
U11       5        4
U12       4        3
U13       5        4
U14       6        5
U15       5        4
U16       4        3
U17       3        2
U18       4        3
U19       3        4
U20       2        3

Vertex    U3       V3
V1        3        4
V2        2        3
V3        1        0
V4        2        3
V5        3        4
V6        4        5
V7        3        4
V8        2        1
V9        3        4
V10       4        5
V11       5        6
V12       4        5
V13       3        2
V14       4        5
V15       5        6
V16       4        5
V17       3        4
V18       2        1
V19       3        4
V20       4        5
U1        2        3
U2        1        2
U3        0        1
U4        1        2
U5        2        3
U6        3        4
U7        4        3
U8        3        2
U9        4        3
U10       5        4
U11       6        5
U12       5        4
U13       4        3
U14       5        4
U15       6        5
U16       5        4
U17       4        3
U18       3        2
U19       4        3
U20       3        4

Vertex    U4       V4
V1        4        5
V2        3        4
V3        2        3
V4        1        0
V5        2        3
V6        3        4
V7        4        5
V8        3        4
V9        2        1
V10       3        4
V11       4        5
V12       5        6
V13       4        5
V14       3        2
V15       4        5
V16       5        6
V17       4        5
V18       3        4
V19       2        1
V20       3        4
U1        3        4
U2        2        3
U3        1        2
U4        0        1
U5        1        2
U6        2        3
U7        3        4
U8        4        3
U9        3        2
U10       4        3
U11       5        4
U12       6        5
U13       5        4
U14       4        3
U15       5        4
U16       6        5
U17       5        4
U18       4        3
U19       3        2
U20       4        3

Vertex    U5       V5
V1        3        4
V2        4        5
V3        3        4
V4        2        3
V5        1        0
V6        2        3
V7        3        4
V8        4        5
V9        3        4
V10       2        1
V11       3        4
V12       4        5
V13       5        6
V14       4        5
V15       3        2
V16       4        5
V17       5        6
V18       4        5
V19       3        4
V20       2        1
U1        4        3
U2        3        4
U3        2        3
U4        1        2
U5        0        1
U6        1        2
U7        2        3
U8        3        4
U9        4        3
U10       3        2
U11       4        3
U12       5        4
U13       6        5
U14       5        4
U15       4        3
U16       5        4
U17       6        5
U18       5        4
U19       4        3
U20       3        2

Vertex    U6       V6
V1        2        1
V2        3        4
V3        4        5
V4        3        4
V5        2        3
V6        1        0
V7        2        3
V8        3        4
V9        4        5
V10       3        4
V11       2        1
V12       3        4
V13       4        5
V14       5        6
V15       4        5
V16       3        2
V17       4        5
V18       5        6
V19       4        5
V20       3        4
U1        3        2
U2        4        3
U3        3        4
U4        2        3
U5        1        2
U6        0        1
U7        1        2
U8        2        3
U9        3        4
U10       4        3
U11       3        2
U12       4        3
U13       5        4
U14       6        5
U15       5        4
U16       4        3
U17       5        4
U18       6        5
U19       5        4
U20       4        3

Vertex    U7       V7
V1        3        4
V2        2        1
V3        3        4
V4        4        5
V5        3        4
V6        2        3
V7        1        0
V8        2        3
V9        3        4
V10       4        5
V11       3        4
V12       2        1
V13       3        4
V14       4        5
V15       5        6
V16       4        5
V17       3        2
V18       4        5
V19       5        6
V20       4        5
U1        4        3
U2        3        2
U3        4        3
U4        3        4
U5        2        3
U6        1        2
U7        0        1
U8        1        2
U9        2        3
U10       3        4
U11       4        3
U12       3        2
U13       4        3
U14       5        4
U15       6        5
U16       5        4
U17       4        3
U18       5        4
U19       6        5
U20       5        4

Vertex    U8       V8
V1        4        5
V2        3        4
V3        2        1
V4        3        4
V5        4        5
V6        3        4
V7        2        3
V8        1        0
V9        2        3
V10       3        4
V11       4        5
V12       3        4
V13       2        1
V14       3        4
V15       4        5
V16       5        6
V17       4        5
V18       3        2
V19       4        5
V20       5        6
U1        5        4
U2        4        3
U3        3        2
U4        4        3
U5        3        4
U6        2        3
U7        1        2
U8        0        1
U9        1        2
U10       2        3
U11       3        4
U12       4        3
U13       3        2
U14       4        3
U15       5        4
U16       6        5
U17       5        4
U18       4        3
U19       5        4
U20       6        5

Vertex    U9       V9
V1        5        6
V2        4        5
V3        3        4
V4        2        1
V5        3        4
V6        4        5
V7        3        4
V8        2        3
V9        1        0
V10       2        3
V11       3        4
V12       4        5
V13       3        4
V14       2        1
V15       3        4
V16       4        5
V17       5        6
V18       4        5
V19       3        2
V20       4        5
U1        6        5
U2        5        4
U3        4        3
U4        3        2
U5        4        3
U6        3        4
U7        2        3
U8        1        2
U9        0        1
U10       1        2
U11       2        3
U12       3        4
U13       4        3
U14       3        2
U15       4        3
U16       5        4
U17       6        5
U18       5        4
U19       4        3
U20       5        4

Vertex    U10       V10
V1        4        5
V2        5        6
V3        4        5
V4        3        4
V5        2        1
V6        3        4
V7        4        5
V8        3        4
V9        2        3
V10       1        0
V11       2        3
V12       3        4
V13       4        5
V14       3        4
V15       2        1
V16       3        4
V17       4        5
V18       5        6
V19       4        5
V20       3        2
U1        5        4
U2        6        5
U3        5        4
U4        4        3
U5        3        2
U6        4        3
U7        3        4
U8        2        3
U9        1        2
U10       0        1
U11       1        2
U12       2        3
U13       3        4
U14       4        3
U15       3        2
U16       4        3
U17       5        4
U18       6        5
U19       5        4
U20       4        3

Vertex    U11       V11
V1        3        2
V2        4        5
V3        5        6
V4        4        5
V5        3        4
V6        2        1
V7        3        4
V8        4        5
V9        3        4
V10       2        3
V11       1        0
V12       2        3
V13       3        4
V14       4        5
V15       3        4
V16       2        1
V17       3        4
V18       4        5
V19       5        6
V20       4        5
U1        4        3
U2        5        4
U3        6        5
U4        5        4
U5        4        3
U6        3        2
U7        4        3
U8        3        4
U9        2        3
U10       1        2
U11       0        1
U12       1        2
U13       2        3
U14       3        4
U15       4        3
U16       3        2
U17       4        3
U18       5        4
U19       6        5
U20       5        4

Vertex    U12       V12
V1        4        5
V2        3        2
V3        4        5
V4        5        6
V5        4        5
V6        3        4
V7        2        1
V8        3        4
V9        4        5
V10       3        4
V11       2        3
V12       1        0
V13       2        3
V14       3        4
V15       4        5
V16       3        4
V17       2        1
V18       3        4
V19       4        5
V20       5        6
U1        5        4
U2        4        3
U3        5        4
U4        6        5
U5        5        4
U6        4        3
U7        3        2
U8        4        3
U9        3        4
U10       2        3
U11       1        2
U12       0        1
U13       1        2
U14       2        3
U15       3        4
U16       4        3
U17       3        2
U18       4        3
U19       5        4
U20       6        5

Vertex    U13       V13
V1        5        6
V2        4        5
V3        3        2
V4        4        5
V5        5        6
V6        4        5
V7        3        4
V8        2        1
V9        3        4
V10       4        5
V11       3        4
V12       2        3
V13       1        0
V14       2        3
V15       3        4
V16       4        5
V17       3        4
V18       2        1
V19       3        4
V20       4        5
U1        6        5
U2        5        4
U3        4        3
U4        5        4
U5        6        5
U6        5        4
U7        4        3
U8        3        2
U9        4        3
U10       3        4
U11       2        3
U12       1        2
U13       0        1
U14       1        2
U15       2        3
U16       3        4
U17       4        3
U18       3        2
U19       4        3
U20       5        4

Vertex    U14       V14
V1        4        5
V2        5        6
V3        4        5
V4        3        2
V5        4        5
V6        5        6
V7        4        5
V8        3        4
V9        2        1
V10       3        4
V11       4        5
V12       3        4
V13       2        3
V14       1        0
V15       2        3
V16       3        4
V17       4        5
V18       3        4
V19       2        1
V20       3        4
U1        5        4
U2        6        5
U3        5        4
U4        4        3
U5        5        4
U6        6        5
U7        5        4
U8        4        3
U9        3        2
U10       4        3
U11       3        4
U12       2        3
U13       1        2
U14       0        1
U15       1        2
U16       2        3
U17       3        4
U18       4        3
U19       3        2
U20       4        3

Vertex    U15       V15
V1        3        4
V2        4        5
V3        5        6
V4        4        5
V5        3        2
V6        4        5
V7        5        6
V8        4        5
V9        3        4
V10       2        1
V11       3        4
V12       4        5
V13       3        4
V14       2        3
V15       1        0
V16       2        3
V17       3        4
V18       4        5
V19       3        4
V20       2        1
U1        4        3
U2        5        4
U3        6        5
U4        5        4
U5        4        3
U6        5        4
U7        6        5
U8        5        4
U9        4        3
U10       3        2
U11       4        3
U12       3        4
U13       2        3
U14       1        2
U15       0        1
U16       1        2
U17       2        3
U18       3        4
U19       4        3
U20       3        2

Vertex    U16       V16
V1        2        1
V2        3        4
V3        4        5
V4        5        6
V5        4        5
V6        3        2
V7        4        5
V8        5        6
V9        4        5
V10       3        4
V11       2        1
V12       3        4
V13       4        5
V14       3        4
V15       2        3
V16       1        0
V17       2        3
V18       3        4
V19       4        5
V20       3        4
U1        3        2
U2        4        3
U3        5        4
U4        6        5
U5        5        4
U6        4        3
U7        5        4
U8        6        5
U9        5        4
U10       4        3
U11       3        2
U12       4        3
U13       3        4
U14       2        3
U15       1        2
U16       0        1
U17       1        2
U18       2        3
U19       3        4
U20       4        3

Vertex    U17       V17
V1        3        4
V2        2        1
V3        3        4
V4        4        5
V5        5        6
V6        4        5
V7        3        2
V8        4        5
V9        5        6
V10       4        5
V11       3        4
V12       2        1
V13       3        4
V14       4        5
V15       3        4
V16       2        3
V17       1        0
V18       2        3
V19       3        4
V20       4        5
U1        4        3
U2        3        2
U3        4        3
U4        5        4
U5        6        5
U6        5        4
U7        4        3
U8        5        4
U9        6        5
U10       5        4
U11       4        3
U12       3        2
U13       4        3
U14       3        4
U15       2        3
U16       1        2
U17       0        1
U18       1        2
U19       2        3
U20       3        4

Vertex    U18       V18
V1        4        5
V2        3        4
V3        2        1
V4        3        4
V5        4        5
V6        5        6
V7        4        5
V8        3        2
V9        4        5
V10       5        6
V11       4        5
V12       3        4
V13       2        1
V14       3        4
V15       4        5
V16       3        4
V17       2        3
V18       1        0
V19       2        3
V20       3        4
U1        3        4
U2        4        3
U3        3        2
U4        4        3
U5        5        4
U6        6        5
U7        5        4
U8        4        3
U9        5        4
U10       6        5
U11       5        4
U12       4        3
U13       3        2
U14       4        3
U15       3        4
U16       2        3
U17       1        2
U18       0        1
U19       1        2
U20       2        3

Vertex    U19       V19
V1        3        4
V2        4        5
V3        3        4
V4        2        1
V5        3        4
V6        4        5
V7        5        6
V8        4        5
V9        3        2
V10       4        5
V11       5        6
V12       4        5
V13       3        4
V14       2        1
V15       3        4
V16       4        5
V17       3        4
V18       2        3
V19       1        0
V20       2        3
U1        2        3
U2        3        4
U3        4        3
U4        3        2
U5        4        3
U6        5        4
U7        6        5
U8        5        4
U9        4        3
U10       5        4
U11       6        5
U12       5        4
U13       4        3
U14       3        2
U15       4        3
U16       3        4
U17       2        3
U18       1        2
U19       0        1
U20       1        2

Vertex    U20       V20
V1        2        3
V2        3        4
V3        4        5
V4        3        4
V5        2        1
V6        3        4
V7        4        5
V8        5        6
V9        4        5
V10       3        2
V11       4        5
V12       5        6
V13       4        5
V14       3        4
V15       2        1
V16       3        4
V17       4        5
V18       3        4
V19       2        3
V20       1        0
U1        1        2
U2        2        3
U3        3        4
U4        4        3
U5        3        2
U6        4        3
U7        5        4
U8        6        5
U9        5        4
U10       4        3
U11       5        4
U12       6        5
U13       5        4
U14       4        3
U15       3        2
U16       4        3
U17       3        4
U18       2        3
U19       1        2
U20       0        1

Vertex    U1       U2
V1        1        2
V2        2        1
V3        3        2
V4        4        3
V5        3        4
V6        2        3
V7        3        2
V8        4        3
V9        5        4
V10       4        5
V11       3        4
V12       4        3
V13       5        4
V14       4        5
V15       3        4
V16       2        3
V17       3        2
V18       4        3
V19       3        4
V20       2        3
U1        0        1
U2        1        0
U3        2        1
U4        3        2
U5        4        3
U6        3        4
U7        4        3
U8        5        4
U9        6        5
U10       5        6
U11       4        5
U12       5        4
U13       6        5
U14       5        6
U15       4        5
U16       3        4
U17       4        3
U18       3        4
U19       2        3
U20       1        2

Vertex    U2       U3
V1        2        3
V2        1        2
V3        2        1
V4        3        2
V5        4        3
V6        3        4
V7        2        3
V8        3        2
V9        4        3
V10       5        4
V11       4        5
V12       3        4
V13       4        3
V14       5        4
V15       4        5
V16       3        4
V17       2        3
V18       3        2
V19       4        3
V20       3        4
U1        1        2
U2        0        1
U3        1        0
U4        2        1
U5        3        2
U6        4        3
U7        3        4
U8        4        3
U9        5        4
U10       6        5
U11       5        6
U12       4        5
U13       5        4
U14       6        5
U15       5        6
U16       4        5
U17       3        4
U18       4        3
U19       3        4
U20       2        3

Vertex    U3       U4
V1        3        4
V2        2        3
V3        1        2
V4        2        1
V5        3        2
V6        4        3
V7        3        4
V8        2        3
V9        3        2
V10       4        3
V11       5        4
V12       4        5
V13       3        4
V14       4        3
V15       5        4
V16       4        5
V17       3        4
V18       2        3
V19       3        2
V20       4        3
U1        2        3
U2        1        2
U3        0        1
U4        1        0
U5        2        1
U6        3        2
U7        4        3
U8        3        4
U9        4        3
U10       5        4
U11       6        5
U12       5        6
U13       4        5
U14       5        4
U15       6        5
U16       5        6
U17       4        5
U18       3        4
U19       4        3
U20       3        4

Vertex    U4       U5
V1        4        3
V2        3        4
V3        2        3
V4        1        2
V5        2        1
V6        3        2
V7        4        3
V8        3        4
V9        2        3
V10       3        2
V11       4        3
V12       5        4
V13       4        5
V14       3        4
V15       4        3
V16       5        4
V17       4        5
V18       3        4
V19       2        3
V20       3        2
U1        3        4
U2        2        3
U3        1        2
U4        0        1
U5        1        0
U6        2        1
U7        3        2
U8        4        3
U9        3        4
U10       4        3
U11       5        4
U12       6        5
U13       5        6
U14       4        5
U15       5        4
U16       6        5
U17       5        6
U18       4        5
U19       3        4
U20       4        3

Vertex    U5       U6
V1        3        2
V2        4        3
V3        3        4
V4        2        3
V5        1        2
V6        2        1
V7        3        2
V8        4        3
V9        3        4
V10       2        3
V11       3        2
V12       4        3
V13       5        4
V14       4        5
V15       3        4
V16       4        3
V17       5        4
V18       4        5
V19       3        4
V20       2        3
U1        4        3
U2        3        4
U3        2        3
U4        1        2
U5        0        1
U6        1        0
U7        2        1
U8        3        2
U9        4        3
U10       3        4
U11       4        3
U12       5        4
U13       6        5
U14       5        6
U15       4        5
U16       5        4
U17       6        5
U18       5        6
U19       4        5
U20       3        4

Vertex    U6       U7
V1        2        3
V2        3        2
V3        4        3
V4        3        4
V5        2        3
V6        1        2
V7        2        1
V8        3        2
V9        4        3
V10       3        4
V11       2        3
V12       3        2
V13       4        3
V14       5        4
V15       4        5
V16       3        4
V17       4        3
V18       5        4
V19       4        5
V20       3        4
U1        3        4
U2        4        3
U3        3        4
U4        2        3
U5        1        2
U6        0        1
U7        1        0
U8        2        1
U9        3        2
U10       4        3
U11       3        4
U12       4        3
U13       5        4
U14       6        5
U15       5        6
U16       4        5
U17       5        4
U18       6        5
U19       5        6
U20       4        5

Vertex    U7       U8
V1        3        4
V2        2        3
V3        3        2
V4        4        3
V5        3        4
V6        2        3
V7        1        2
V8        2        1
V9        3        2
V10       4        3
V11       3        4
V12       2        3
V13       3        2
V14       4        3
V15       5        4
V16       4        5
V17       3        4
V18       4        3
V19       5        4
V20       4        5
U1        4        5
U2        3        4
U3        4        3
U4        3        4
U5        2        3
U6        1        2
U7        0        1
U8        1        0
U9        2        1
U10       3        2
U11       4        3
U12       3        4
U13       4        3
U14       5        4
U15       6        5
U16       5        6
U17       4        5
U18       5        4
U19       6        5
U20       5        6

Vertex    U8       U9
V1        4        5
V2        3        4
V3        2        3
V4        3        2
V5        4        3
V6        3        4
V7        2        3
V8        1        2
V9        2        1
V10       3        2
V11       4        3
V12       3        4
V13       2        3
V14       3        2
V15       4        3
V16       5        4
V17       4        5
V18       3        4
V19       4        3
V20       5        4
U1        5        6
U2        4        5
U3        3        4
U4        4        3
U5        3        4
U6        2        3
U7        1        2
U8        0        1
U9        1        0
U10       2        1
U11       3        2
U12       4        3
U13       3        4
U14       4        3
U15       5        4
U16       6        5
U17       5        6
U18       4        5
U19       5        4
